strain1,strain2,segments,gen,phys
EG4347,JU1213,7,0.288743531,0.283567993
EG4349,JU1213,10,0.265059698,0.300583088
EG4946,JU1213,7,0.214956052,0.218074714
JT11398,JU1213,8,0.30886589,0.353867498
JU310,JU1213,11,0.3707367,0.422576739
MY23,JU1213,2,0.048539444,0.065948329
JU1212,JU1213,11,0.386276017,0.380910078
CB4852,JU1242,8,0.367084226,0.402125319
CX11292,JU1242,8,0.311170508,0.366471351
CX11262,JU1242,6,0.182320249,0.204506689
CX11315,JU1242,7,0.241335693,0.304201161
CX11271,JU1242,11,0.338969005,0.465063132
CX11276,JU1242,8,0.359511942,0.433100785
CX11285,JU1242,9,0.243122366,0.337122129
ED3005,JU1242,7,0.23585651,0.297442294
ED3012,JU1242,7,0.367607393,0.387994494
ED3017,JU1242,10,0.368191647,0.470680373
ED3048,JU1242,9,0.400288932,0.44165684
ED3052,JU1242,7,0.2836979,0.311320858
ED3073,JU1242,9,0.300879877,0.351627754
EG4347,JU1242,11,0.387185668,0.398647901
EG4349,JU1242,9,0.208729123,0.289572876
EG4946,JU1242,8,0.310586135,0.351972336
JT11398,JU1242,10,0.357297402,0.46033425
JU310,JU1242,9,0.424989443,0.545709629
MY23,JU1242,3,0.073384324,0.093635525
JU1212,JU1242,9,0.199761197,0.196979457
JU1213,JU1242,9,0.408364155,0.450203748
CB4852,JU1409,8,0.382895446,0.465985064
CX11292,JU1409,9,0.401191952,0.460965265
CX11262,JU1409,7,0.176182336,0.20475091
CX11315,JU1409,9,0.289416888,0.364665495
CX11271,JU1409,16,0.390341749,0.470648976
CX11276,JU1409,11,0.368539818,0.409003441
CX11285,JU1409,13,0.28077011,0.356150772
ED3005,JU1409,9,0.333237413,0.377072959
ED3012,JU1409,12,0.381134777,0.427607373
ED3017,JU1409,10,0.377716006,0.425491617
ED3048,JU1409,15,0.436707864,0.493831838
ED3052,JU1409,8,0.324261835,0.353416654
ED3073,JU1409,9,0.411844386,0.49212188
EG4347,JU1409,11,0.431867643,0.473862181
EG4349,JU1409,14,0.344803116,0.39804305
EG4946,JU1409,10,0.378443104,0.443457074
JT11398,JU1409,6,0.324393492,0.418550622
JU310,JU1409,10,0.420623423,0.461914379
MY23,JU1409,3,0.039552834,0.057404567
JU1212,JU1409,8,0.202336026,0.226660657
JU1213,JU1409,8,0.256627347,0.239443541
JU1242,JU1409,13,0.297308675,0.354202164
CB4852,JU1491,8,0.313594699,0.345907337
CX11292,JU1491,7,0.267889958,0.343663349
CX11262,JU1491,7,0.140794101,0.161600177
CX11315,JU1491,11,0.245348503,0.288188396
CX11271,JU1491,10,0.346055443,0.454581038
CX11276,JU1491,9,0.355801023,0.44207545
CX11285,JU1491,9,0.267396774,0.318269473
ED3005,JU1491,6,0.238708238,0.294878369
ED3012,JU1491,8,0.355964829,0.368027992
ED3017,JU1491,7,0.330605479,0.405970537
ED3048,JU1491,9,0.361809092,0.404318717
ED3052,JU1491,10,0.434137983,0.525707237
ED3073,JU1491,7,0.285735575,0.338409594
EG4347,JU1491,9,0.336242173,0.37439
EG4349,JU1491,9,0.248507062,0.331441477
EG4946,JU1491,7,0.267305585,0.329164335
JT11398,JU1491,8,0.332079741,0.420638017
JU310,JU1491,8,0.303075494,0.395672417
