strain1,strain2,segments,gen,phys
CX11262,JU561,8,0.219133594,0.245228849
CX11315,JU561,7,0.265400926,0.349689931
CX11271,JU561,12,0.349539602,0.391813438
CX11276,JU561,9,0.344608125,0.377160128
CX11285,JU561,10,0.238286626,0.296026587
ED3005,JU561,9,0.33076578,0.398238928
ED3012,JU561,14,0.576295426,0.584897627
ED3017,JU561,11,0.449820469,0.512912629
ED3048,JU561,9,0.518927988,0.515632617
ED3052,JU561,8,0.425057865,0.503351258
ED3073,JU561,9,0.354133364,0.412902304
EG4347,JU561,13,0.584856464,0.573487589
EG4349,JU561,10,0.249334341,0.299191398
EG4946,JU561,13,0.511250825,0.544222162
JT11398,JU561,8,0.45989963,0.532660265
JU310,JU561,9,0.359066511,0.402865852
MY23,JU561,3,0.052082704,0.075394759
JU1212,JU561,11,0.30810529,0.339265497
JU1213,JU561,8,0.224399102,0.29546895
JU1242,JU561,9,0.287227324,0.279029317
JU1409,JU561,9,0.3699231,0.405345134
JU1491,JU561,8,0.333484264,0.412137814
JU1581,JU561,10,0.325267169,0.401952039
JU1568,JU561,10,0.419804575,0.4362485
JU311,JU561,7,0.371584966,0.402148037
JU323,JU561,10,0.45303229,0.517114952
JU346,JU561,11,0.276546056,0.322724275
JU360,JU561,9,0.273222887,0.342767401
JU367,JU561,12,0.459721824,0.482405973
JU363,JU561,10,0.248429525,0.335536878
JU394,JU561,10,0.411280259,0.442142137
JU792,JU561,7,0.278817846,0.354740298
JU397,JU561,8,0.335191034,0.391924994
CB4852,JU775,6,0.092375613,0.133552601
CX11292,JU775,6,0.123410676,0.160700505
CX11262,JU775,4,0.080957007,0.083461533
CX11315,JU775,5,0.08097894,0.106248794
CX11271,JU775,8,0.231741895,0.29957247
CX11276,JU775,4,0.123621853,0.179025044
CX11285,JU775,6,0.151652034,0.180396123
ED3005,JU775,5,0.106443557,0.121630594
ED3012,JU775,5,0.091934149,0.115634059
ED3017,JU775,10,0.176518784,0.21778882
ED3048,JU775,10,0.1798554,0.199553178
ED3052,JU775,8,0.200962311,0.223244974
ED3073,JU775,6,0.114762034,0.13715926
EG4347,JU775,5,0.112317236,0.139774643
EG4349,JU775,9,0.176489307,0.230265009
EG4946,JU775,6,0.134568424,0.152239618
JT11398,JU775,6,0.172187599,0.2138947
JU310,JU775,4,0.166576825,0.222809028
MY23,JU775,1,0.037424194,0.067341057
JU1212,JU775,5,0.06410854,0.074956207
JU1213,JU775,8,0.173129764,0.213450726
JU1242,JU775,8,0.210865314,0.284922126
JU1409,JU775,9,0.152126045,0.183914654
JU1491,JU775,15,0.292763309,0.380161616
JU1581,JU775,8,0.197369509,0.19174191
JU1568,JU775,8,0.117913084,0.141112907
JU311,JU775,7,0.103870768,0.115284384
JU323,JU775,7,0.141036301,0.167488682
JU346,JU775,5,0.146571581,0.170562559
JU360,JU775,7,0.153321641,0.203607426
JU367,JU775,7,0.102837957,0.132953242
JU363,JU775,7,0.153321641,0.203607426
JU394,JU775,5,0.092609907,0.112781934
JU792,JU775,9,0.254511369,0.320550589
JU397,JU775,10,0.246841341,0.323362859
JU561,JU775,7,0.114779407,0.162914415
CB4852,JU830,11,0.393850949,0.488226911
CX11292,JU830,10,0.328868012,0.394288716
CX11262,JU830,6,0.156916652,0.198564349
CX11315,JU830,8,0.233717091,0.345297313
CX11271,JU830,13,0.322568004,0.410203327
CX11276,JU830,10,0.308907749,0.423677582
CX11285,JU830,12,0.242689507,0.302937723
ED3005,JU830,10,0.337293673,0.375680021
ED3012,JU830,11,0.310405222,0.398940206
ED3017,JU830,9,0.25380411,0.364152047
ED3048,JU830,11,0.320260501,0.40706448
ED3052,JU830,8,0.248359118,0.301069564
ED3073,JU830,10,0.400703945,0.447520579
EG4347,JU830,14,0.2765129,0.38208408
EG4349,JU830,12,0.373439139,0.438811206
EG4946,JU830,12,0.332226294,0.411613851
JT11398,JU830,7,0.313146638,0.457478061
JU310,JU830,11,0.356198659,0.435471038
MY23,JU830,2,0.018203413,0.013588087
JU1212,JU830,6,0.113950606,0.15156741
JU1213,JU830,7,0.111954547,0.161408074
JU1242,JU830,7,0.182063306,0.285760932
JU1409,JU830,11,0.311593959,0.427110422
JU1491,JU830,7,0.197153701,0.26825381
JU1581,JU830,6,0.224404267,0.273724134
JU1568,JU830,6,0.173068779,0.281366486
JU311,JU830,3,0.128760769,0.177343097
JU323,JU830,10,0.317834977,0.368291307
JU346,JU830,11,0.298323236,0.337457774
JU360,JU830,12,0.422273251,0.492138686
JU367,JU830,7,0.226644623,0.331819702
JU363,JU830,12,0.411481775,0.489706259
JU394,JU830,6,0.164314216,0.203754841
JU792,JU830,6,0.177852616,0.226105337
JU397,JU830,4,0.167451656,0.208273775
JU561,JU830,10,0.303041133,0.372657282
JU775,JU830,4,0.068215275,0.104498171
CB4852,JU847,8,0.40075534,0.387299578
CX11292,JU847,9,0.333363944,0.305082289
CX11262,JU847,7,0.140317191,0.129699055
CX11315,JU847,5,0.192493988,0.225990407
CX11271,JU847,8,0.241288325,0.230570725
CX11276,JU847,7,0.262152499,0.248453607
CX11285,JU847,5,0.166331946,0.183154708
ED3005,JU847,7,0.217814156,0.242195345
ED3012,JU847,8,0.446560193,0.389837678
ED3017,JU847,11,0.355958535,0.393900744
ED3048,JU847,8,0.368334107,0.353685211
ED3052,JU847,6,0.325469958,0.391030135
ED3073,JU847,10,0.269261649,0.281098088
EG4347,JU847,9,0.396200251,0.349440917
EG4349,JU847,8,0.155145491,0.186345673
EG4946,JU847,11,0.389007716,0.357953362
JT11398,JU847,9,0.335142382,0.345929816
JU310,JU847,11,0.376037849,0.421058694
MY23,JU847,3,0.072340095,0.092752969
JU1212,JU847,7,0.223343036,0.273237768
JU1213,JU847,9,0.363972942,0.399476792
JU1242,JU847,10,0.449081198,0.431044197
JU1409,JU847,10,0.270066795,0.266347024
JU1491,JU847,7,0.276623259,0.348574908
JU1581,JU847,9,0.29914509,0.392514846
JU1568,JU847,10,0.483657625,0.452203215
JU311,JU847,12,0.499533105,0.511874049
JU323,JU847,11,0.533719337,0.578093053
JU346,JU847,12,0.30575104,0.324962601
JU360,JU847,9,0.229622827,0.23777862
JU367,JU847,10,0.37944528,0.375358996
JU363,JU847,8,0.200003945,0.228377007
JU394,JU847,7,0.364263958,0.388745383
JU792,JU847,9,0.450938746,0.529538833
JU397,JU847,11,0.469887127,0.49707617
JU561,JU847,10,0.486276142,0.518109712
JU775,JU847,6,0.102984697,0.125729869
JU830,JU847,5,0.163872043,0.185071779
CB4852,LSJ1,10,0.637348155,0.703754257
CX11292,LSJ1,8,0.510717121,0.530939441
CX11262,LSJ1,5,0.228810068,0.249690911
CX11315,LSJ1,9,0.367818446,0.436187335
CX11271,LSJ1,12,0.444623333,0.47742516
CX11276,LSJ1,8,0.487524156,0.507304396
CX11285,LSJ1,8,0.249091031,0.310181408
ED3005,LSJ1,7,0.317721677,0.391614944
ED3012,LSJ1,10,0.813260401,0.799140394
ED3017,LSJ1,9,0.430989,0.491777238
ED3048,LSJ1,8,0.564541051,0.57198006
ED3052,LSJ1,7,0.400868171,0.387951104
ED3073,LSJ1,8,0.382174607,0.46920375
EG4347,LSJ1,14,0.692707859,0.764237694
EG4349,LSJ1,10,0.213720506,0.261285033
EG4946,LSJ1,11,0.603883162,0.636480456
JT11398,LSJ1,12,0.485908491,0.591241799
JU310,LSJ1,10,0.394197682,0.456189388
MY23,LSJ1,2,0.026117933,0.016325322
JU1212,LSJ1,9,0.559980295,0.575535829
JU1213,LSJ1,6,0.289676013,0.296668237
JU1242,LSJ1,8,0.387746713,0.416973219
JU1409,LSJ1,11,0.401676482,0.458316218
JU1491,LSJ1,8,0.367328157,0.383467632
JU1581,LSJ1,5,0.17949328,0.217851164
JU1568,LSJ1,8,0.762227736,0.809813603
JU311,LSJ1,7,0.522437617,0.559135771
JU323,LSJ1,6,0.369487701,0.404341895
JU346,LSJ1,8,0.236116385,0.258306364
JU360,LSJ1,6,0.310742729,0.388129807
JU367,LSJ1,9,0.735592061,0.799519159
JU363,LSJ1,8,0.307825791,0.388221569
JU394,LSJ1,7,0.742620882,0.746128686
JU792,LSJ1,5,0.271850555,0.328096356
JU397,LSJ1,8,0.41493125,0.427828576
JU561,LSJ1,12,0.556029342,0.533484252
JU775,LSJ1,6,0.105526664,0.137558616
JU830,LSJ1,8,0.230947545,0.332121943
JU847,LSJ1,7,0.413389096,0.374017416
CB4852,MY10,10,0.355852351,0.37490209
CX11292,MY10,7,0.312971962,0.34689331
CX11262,MY10,6,0.118059319,0.134056942
CX11315,MY10,8,0.244896836,0.297533387
CX11271,MY10,10,0.387423258,0.413807819
CX11276,MY10,7,0.302607303,0.333053421
CX11285,MY10,9,0.235668834,0.336286908
ED3005,MY10,6,0.264196465,0.289424352
ED3012,MY10,8,0.272970746,0.316757659
ED3017,MY10,11,0.293969873,0.361455796
ED3048,MY10,11,0.368154159,0.41328042
ED3052,MY10,10,0.366706108,0.422438191
ED3073,MY10,11,0.303973969,0.386881198
EG4347,MY10,10,0.343131946,0.377515116
EG4349,MY10,14,0.30950523,0.338498141
EG4946,MY10,7,0.329272615,0.353114742
JT11398,MY10,6,0.223764555,0.320807783
JU310,MY10,7,0.273766835,0.305763974
MY23,MY10,2,0.043984172,0.060487631
JU1212,MY10,7,0.205030389,0.246433199
JU1213,MY10,9,0.242362071,0.296819258
JU1242,MY10,6,0.193860636,0.278274154
JU1409,MY10,12,0.320221999,0.376165178
JU1491,MY10,9,0.307190944,0.429341957
JU1581,MY10,3,0.103748593,0.177985895
JU1568,MY10,7,0.258734716,0.300370503
JU311,MY10,5,0.186714758,0.221664056
JU323,MY10,8,0.28478539,0.328535207
JU346,MY10,6,0.22911461,0.257050376
JU360,MY10,12,0.308735417,0.318291392
JU367,MY10,10,0.300137794,0.331249683
JU363,MY10,12,0.294919881,0.314200096
JU394,MY10,7,0.258928667,0.287151225
JU792,MY10,5,0.175419817,0.299964966
JU397,MY10,6,0.189012332,0.321889523
JU561,MY10,8,0.277420557,0.367849849
JU775,MY10,7,0.137073759,0.211851783
JU830,MY10,9,0.216352517,0.262616387
JU847,MY10,6,0.183781023,0.265661305
LSJ1,MY10,8,0.292457417,0.335908333
CB4852,MY18,7,0.284167372,0.341718645
CX11292,MY18,8,0.323334509,0.367086108
CX11262,MY18,4,0.132913286,0.170460331
CX11315,MY18,6,0.206852027,0.301410591
CX11271,MY18,7,0.265089056,0.331975257
CX11276,MY18,6,0.272807625,0.331636227
CX11285,MY18,10,0.217788619,0.28065715
ED3005,MY18,11,0.61982711,0.632296328
ED3012,MY18,7,0.268600155,0.329683015
ED3017,MY18,10,0.248816609,0.320109731
ED3048,MY18,9,0.296075536,0.359626103
ED3052,MY18,6,0.213126309,0.231304118
ED3073,MY18,9,0.334175318,0.37193793
EG4347,MY18,9,0.317856032,0.363737871
EG4349,MY18,11,0.256091513,0.251974744
EG4946,MY18,10,0.31494488,0.372602468
JT11398,MY18,5,0.24181082,0.32323958
JU310,MY18,9,0.333846844,0.382209676
MY23,MY18,3,0.027743963,0.02617697
JU1212,MY18,5,0.184137052,0.247852001
JU1213,MY18,6,0.146308368,0.174170995
JU1242,MY18,7,0.174137414,0.262862037
JU1409,MY18,8,0.285024183,0.33576629
JU1491,MY18,6,0.192546588,0.221826631
JU1581,MY18,5,0.15959405,0.202180404
JU1568,MY18,7,0.278520164,0.371714989
JU311,MY18,8,0.255047039,0.30143263
JU323,MY18,7,0.232233847,0.311041645
JU346,MY18,6,0.211429695,0.197496869
JU360,MY18,8,0.310941426,0.345377512
JU367,MY18,8,0.314223654,0.396436597
JU363,MY18,7,0.288333891,0.321633747
JU394,MY18,6,0.205155557,0.243769442
JU792,MY18,6,0.157729313,0.196406891
JU397,MY18,7,0.175758241,0.220035644
JU561,MY18,8,0.291519321,0.300555147
JU775,MY18,3,0.031592322,0.038396295
JU830,MY18,9,0.37969389,0.398438761
JU847,MY18,8,0.21661985,0.237198944
LSJ1,MY18,7,0.309464827,0.382662967
MY10,MY18,7,0.235315651,0.219431073
CB4852,PX174,9,0.496665111,0.521621013
CX11292,PX174,7,0.458707381,0.493366324
CX11262,PX174,8,0.259076344,0.286927175
CX11315,PX174,11,0.364476287,0.424801653
CX11271,PX174,12,0.486311996,0.482581
CX11276,PX174,9,0.468834771,0.465469788
CX11285,PX174,12,0.267094963,0.313382709
ED3005,PX174,5,0.329833862,0.389025205
ED3012,PX174,11,0.526438371,0.526818176
ED3017,PX174,8,0.371408603,0.39872096
ED3048,PX174,8,0.473203037,0.498583499
ED3052,PX174,6,0.354440095,0.347843282
ED3073,PX174,10,0.462475326,0.521765153
EG4347,PX174,10,0.51000203,0.506874073
EG4349,PX174,10,0.268886308,0.328669111
EG4946,PX174,9,0.471592105,0.50601769
JT11398,PX174,10,0.374083521,0.44199584
JU310,PX174,7,0.354051179,0.380823109
MY23,PX174,4,0.048315705,0.047354323
JU1212,PX174,6,0.19629579,0.188740871
JU1213,PX174,7,0.231060776,0.184370332
JU1242,PX174,9,0.293297184,0.297349762
JU1409,PX174,10,0.414449804,0.428156821
JU1491,PX174,7,0.302244426,0.295430833
JU1581,PX174,4,0.185440001,0.202566579
JU1568,PX174,6,0.32177293,0.351881413
JU311,PX174,7,0.331649187,0.320879793
JU323,PX174,6,0.280517844,0.317063225
JU346,PX174,5,0.231546473,0.245684327
JU360,PX174,8,0.361228614,0.397178009
JU367,PX174,8,0.353541033,0.387816141
JU363,PX174,9,0.335811068,0.390487667
JU394,PX174,6,0.286154342,0.259747965
JU792,PX174,5,0.182643679,0.19077537
JU397,PX174,6,0.209202585,0.20607788
JU561,PX174,9,0.404875274,0.413707897
JU775,PX174,5,0.069991326,0.054518549
JU830,PX174,9,0.331052426,0.445146751
JU847,PX174,7,0.293469602,0.25133614
LSJ1,PX174,8,0.490736027,0.479428072
MY10,PX174,6,0.278774072,0.305155098
MY18,PX174,6,0.2723742,0.343855292
CB4852,PX179,12,0.538144986,0.680864029
CX11292,PX179,8,0.471008945,0.557847857
CX11262,PX179,9,0.214825591,0.288429292
CX11315,PX179,8,0.346706171,0.458059434
CX11271,PX179,13,0.506456239,0.548086243
CX11276,PX179,10,0.429719864,0.498123068
CX11285,PX179,11,0.292118033,0.380665368
ED3005,PX179,7,0.361262436,0.459019583
ED3012,PX179,15,0.55177462,0.668563766
ED3017,PX179,12,0.412396428,0.479367007
ED3048,PX179,10,0.505827248,0.599324371
ED3052,PX179,7,0.381070063,0.417810079
ED3073,PX179,12,0.42300279,0.536776257
EG4347,PX179,12,0.751622671,0.826060733
EG4349,PX179,13,0.299751655,0.363683636
EG4946,PX179,11,0.5067941,0.612525635
JT11398,PX179,8,0.472027193,0.602730967
JU310,PX179,9,0.419924578,0.472537058
MY23,PX179,3,0.067097836,0.086342598
JU1212,PX179,11,0.393635428,0.424526685
JU1213,PX179,8,0.294615249,0.296982422
JU1242,PX179,10,0.284935492,0.359535528
JU1409,PX179,9,0.399272019,0.471558285
JU1491,PX179,10,0.343220323,0.380331231
JU1581,PX179,7,0.267149194,0.258259139
JU1568,PX179,14,0.534463461,0.641977993
JU311,PX179,10,0.383305685,0.434042938
JU323,PX179,8,0.340505433,0.40494435
JU346,PX179,11,0.405540529,0.351082061
JU360,PX179,11,0.345464292,0.435285046
JU367,PX179,15,0.528563075,0.642033076
JU363,PX179,12,0.347351436,0.436217473
JU394,PX179,10,0.45736721,0.524372817
JU792,PX179,7,0.258576704,0.30089948
JU397,PX179,8,0.326203172,0.32796313
JU561,PX179,9,0.473780627,0.509801913
JU775,PX179,6,0.138718268,0.14895705
JU830,PX179,13,0.316987368,0.418177639
JU847,PX179,10,0.347135085,0.363296893
LSJ1,PX179,14,0.565343671,0.675442178
MY10,PX179,10,0.401738636,0.433482935
MY18,PX179,9,0.308885377,0.356807072
PX174,PX179,7,0.365679761,0.43853406
CB4852,QX1211,0,0,0
CX11292,QX1211,0,0,0
CX11262,QX1211,0,0,0
CX11315,QX1211,0,0,0
CX11271,QX1211,0,0,0
CX11276,QX1211,0,0,0
CX11285,QX1211,0,0,0
ED3005,QX1211,0,0,0
ED3012,QX1211,0,0,0
ED3017,QX1211,0,0,0
ED3048,QX1211,0,0,0
ED3052,QX1211,0,0,0
ED3073,QX1211,0,0,0
EG4347,QX1211,0,0,0
EG4349,QX1211,0,0,0
EG4946,QX1211,0,0,0
JT11398,QX1211,0,0,0
JU310,QX1211,0,0,0
MY23,QX1211,0,0,0
JU1212,QX1211,0,0,0
JU1213,QX1211,0,0,0
JU1242,QX1211,0,0,0
JU1409,QX1211,0,0,0
JU1491,QX1211,0,0,0
JU1581,QX1211,0,0,0
JU1568,QX1211,0,0,0
JU311,QX1211,0,0,0
JU323,QX1211,0,0,0
JU346,QX1211,0,0,0
JU360,QX1211,0,0,0
JU367,QX1211,0,0,0
JU363,QX1211,0,0,0
JU394,QX1211,0,0,0
JU792,QX1211,0,0,0
JU397,QX1211,0,0,0
JU561,QX1211,0,0,0
JU775,QX1211,0,0,0
JU830,QX1211,0,0,0
JU847,QX1211,0,0,0
LSJ1,QX1211,0,0,0
MY10,QX1211,0,0,0
MY18,QX1211,0,0,0
PX174,QX1211,0,0,0
PX179,QX1211,0,0,0
CB4852,QX1233,8,0.328867542,0.43182085
CX11292,QX1233,10,0.509284963,0.615034296
CX11262,QX1233,10,0.372293773,0.39986742
CX11315,QX1233,16,0.43319725,0.541842961
CX11271,QX1233,9,0.380254918,0.478745808
CX11276,QX1233,8,0.298407023,0.44736804
CX11285,QX1233,14,0.294216774,0.355465942
ED3005,QX1233,9,0.406706832,0.486356844
ED3012,QX1233,6,0.26444157,0.369196002
ED3017,QX1233,6,0.272075276,0.355483507
ED3048,QX1233,10,0.342684418,0.445209184
ED3052,QX1233,6,0.251765734,0.314568145
ED3073,QX1233,10,0.311244719,0.423937941
EG4347,QX1233,7,0.355666343,0.449325116
EG4349,QX1233,9,0.196004627,0.26699177
EG4946,QX1233,10,0.422242574,0.53972317
JT11398,QX1233,6,0.25151728,0.357739389
JU310,QX1233,6,0.283984317,0.361159157
MY23,QX1233,3,0.040583493,0.064277735
JU1212,QX1233,2,0.10630334,0.147228926
JU1213,QX1233,4,0.123522006,0.17410987
JU1242,QX1233,7,0.147503301,0.238571481
JU1409,QX1233,9,0.326638743,0.424477383
JU1491,QX1233,6,0.218730069,0.285551253
JU1581,QX1233,5,0.15002668,0.189918508
JU1568,QX1233,6,0.228027919,0.329659797
JU311,QX1233,5,0.186457165,0.269069529
JU323,QX1233,7,0.251152104,0.349602273
JU346,QX1233,6,0.172990027,0.209102965
JU360,QX1233,9,0.193241276,0.3086083
JU367,QX1233,9,0.309023204,0.392859148
JU363,QX1233,9,0.193241276,0.3086083
JU394,QX1233,4,0.174816594,0.244677733
JU792,QX1233,4,0.137203097,0.201302592
JU397,QX1233,3,0.121942872,0.193187934
JU561,QX1233,7,0.298729527,0.380942973
JU775,QX1233,4,0.07181576,0.097066327
JU830,QX1233,8,0.220474813,0.314908913
JU847,QX1233,7,0.188459659,0.249398357
LSJ1,QX1233,5,0.273557635,0.368256944
MY10,QX1233,7,0.231749705,0.298214563
MY18,QX1233,7,0.260874847,0.326357157
PX174,QX1233,6,0.312951239,0.439283202
PX179,QX1233,7,0.356524564,0.446830236
QX1211,QX1233,0,0,0
CB4852,JU258,6,0.078903446,0.099218223
CX11292,JU258,7,0.124047187,0.132424046
CX11262,JU258,2,0.065993264,0.054199651
CX11315,JU258,4,0.053050077,0.069540617
CX11271,JU258,9,0.143299325,0.123752222
CX11276,JU258,4,0.072755735,0.079808798
CX11285,JU258,5,0.074586162,0.08598767
ED3005,JU258,6,0.113669083,0.125208902
ED3012,JU258,5,0.07623835,0.085105643
ED3017,JU258,8,0.131740399,0.130951538
ED3048,JU258,6,0.101480432,0.103243441
ED3052,JU258,7,0.174205081,0.208162968
ED3073,JU258,5,0.168423116,0.129187205
EG4347,JU258,5,0.090227226,0.087596249
EG4349,JU258,9,0.15269945,0.147968571
EG4946,JU258,7,0.142267952,0.141490244
JT11398,JU258,4,0.082712652,0.096854002
JU310,JU258,7,0.213001484,0.192821423
MY23,JU258,1,0.010150908,0.00621603
JU1212,JU258,4,0.064988744,0.142687903
JU1213,JU258,9,0.191501655,0.204221724
JU1242,JU258,6,0.083613742,0.08584383
JU1409,JU258,8,0.149767602,0.132214557
JU1491,JU258,6,0.11287525,0.179016885
JU1581,JU258,6,0.133284155,0.182155253
JU1568,JU258,4,0.05457997,0.07562478
JU311,JU258,5,0.080768614,0.107821203
JU323,JU258,7,0.122576554,0.16153331
JU346,JU258,6,0.189787857,0.260668578
JU360,JU258,7,0.185699805,0.142520376
JU367,JU258,4,0.059037012,0.079891064
JU363,JU258,7,0.185699805,0.142520376
JU394,JU258,5,0.072995402,0.113771562
JU792,JU258,7,0.155908517,0.183974521
JU397,JU258,6,0.13257283,0.173260798
JU561,JU258,8,0.119591014,0.200739153
JU775,JU258,8,0.20438601,0.180691403
JU830,JU258,5,0.151266536,0.13219785
JU847,JU258,9,0.152839951,0.216219017
LSJ1,JU258,3,0.043223182,0.064665538
MY10,JU258,7,0.101177908,0.142976932
MY18,JU258,4,0.110096303,0.103507795
PX174,JU258,4,0.08861372,0.087236648
PX179,JU258,5,0.090227226,0.087596249
QX1211,JU258,0,0,0
QX1233,JU258,5,0.065266109,0.081791729
CB4852,AB1,10,0.633141876,0.742638436
CX11292,AB1,7,0.386582487,0.490414018
CX11262,AB1,6,0.186769371,0.227895964
CX11315,AB1,7,0.273405759,0.391226043
CX11271,AB1,10,0.351289635,0.455663097
CX11276,AB1,7,0.316368388,0.409039671
CX11285,AB1,11,0.254335448,0.347892584
ED3005,AB1,7,0.332311863,0.424023722
ED3012,AB1,14,0.530221795,0.643001104
ED3017,AB1,10,0.430315687,0.494154591
ED3048,AB1,8,0.465500239,0.538534259
ED3052,AB1,4,0.323375043,0.389856452
ED3073,AB1,9,0.348936857,0.472457858
EG4347,AB1,13,0.554452142,0.700297381
EG4349,AB1,10,0.272559218,0.335206686
EG4946,AB1,11,0.499481776,0.606959094
JT11398,AB1,10,0.48616168,0.609901673
JU310,AB1,9,0.347788187,0.426146478
MY23,AB1,2,0.054274665,0.083799704
JU1212,AB1,11,0.338702104,0.391954922
JU1213,AB1,8,0.265059982,0.284993217
JU1242,AB1,10,0.290660022,0.356838898
JU1409,AB1,8,0.353476566,0.453513009
JU1491,AB1,9,0.338421745,0.392240776
JU1581,AB1,13,0.361110479,0.329925519
JU1568,AB1,11,0.461039084,0.567535453
JU311,AB1,9,0.348092542,0.427348232
JU323,AB1,4,0.294185572,0.370208129
JU346,AB1,11,0.294069553,0.310567133
JU360,AB1,9,0.248778005,0.377570449
JU367,AB1,12,0.501132714,0.607824234
JU363,AB1,10,0.261456625,0.380935303
JU394,AB1,10,0.430813312,0.517253829
JU792,AB1,7,0.291572273,0.316504041
JU397,AB1,7,0.279463464,0.314753458
JU561,AB1,9,0.554161933,0.59513491
JU775,AB1,8,0.159726451,0.150366565
JU830,AB1,10,0.308966075,0.41875338
JU847,AB1,7,0.298615791,0.332452495
LSJ1,AB1,11,0.551085178,0.661908834
MY10,AB1,6,0.276298233,0.363873982
MY18,AB1,5,0.252988136,0.307174368
PX174,AB1,6,0.3622762,0.431970632
PX179,AB1,13,0.595759152,0.709083297
QX1211,AB1,0,0,0
QX1233,AB1,7,0.332836438,0.422428834
JU258,AB1,5,0.07692032,0.083945202
CB4852,AB4,12,0.41431852,0.49703285
CX11292,AB4,15,0.697830181,0.784059926
CX11262,AB4,8,0.343653399,0.458338188
CX11315,AB4,12,0.430726979,0.579625248
CX11271,AB4,12,0.546135035,0.596657928
CX11276,AB4,12,0.483843319,0.555994167
CX11285,AB4,13,0.318572834,0.372290591
ED3005,AB4,10,0.485906197,0.558494121
ED3012,AB4,12,0.40849292,0.470131544
ED3017,AB4,9,0.322330406,0.406597996
ED3048,AB4,12,0.44876214,0.516955972
ED3052,AB4,8,0.372671172,0.38345431
ED3073,AB4,12,0.349801795,0.460259763
EG4347,AB4,10,0.493675308,0.547817306
EG4349,AB4,10,0.220968731,0.282573163
EG4946,AB4,13,0.61882018,0.699090644
JT11398,AB4,7,0.272655689,0.394435662
JU310,AB4,8,0.360924206,0.436003979
MY23,AB4,4,0.055945358,0.079916489
JU1212,AB4,4,0.161601165,0.169772515
JU1213,AB4,6,0.203671782,0.212297525
JU1242,AB4,7,0.225645266,0.303426885
JU1409,AB4,9,0.349837048,0.418959095
JU1491,AB4,5,0.239893402,0.291360248
JU1581,AB4,3,0.138060907,0.189129193
JU1568,AB4,8,0.329053467,0.395857171
JU311,AB4,6,0.256576898,0.289667705
JU323,AB4,12,0.3324459,0.388565173
JU346,AB4,6,0.20484719,0.234273461
JU360,AB4,11,0.267910178,0.372406141
JU367,AB4,10,0.377507426,0.438162366
JU363,AB4,11,0.257118702,0.369973714
JU394,AB4,5,0.250984416,0.283345752
JU792,AB4,3,0.158780042,0.213947886
JU397,AB4,4,0.178820675,0.222859359
JU561,AB4,11,0.348657177,0.403982513
JU775,AB4,4,0.095892292,0.124891312
JU830,AB4,10,0.249614252,0.351333822
JU847,AB4,11,0.283722345,0.277799533
LSJ1,AB4,9,0.398084997,0.448028554
MY10,AB4,7,0.288005997,0.31055484
MY18,AB4,8,0.281988134,0.354533395
PX174,AB4,11,0.40326908,0.457950635
PX179,AB4,9,0.440423232,0.515027506
QX1211,AB4,0,0,0
QX1233,AB4,9,0.427993845,0.575696266
JU258,AB4,5,0.105690146,0.112182725
AB1,AB4,6,0.324175497,0.433527743
CB4852,CB4854,10,0.456226335,0.526836511
CX11292,CB4854,13,0.469575991,0.54332183
CX11262,CB4854,10,0.230941833,0.272867991
CX11315,CB4854,9,0.258522642,0.390469991
CX11271,CB4854,12,0.361795157,0.451547874
CX11276,CB4854,10,0.378004909,0.447809398
CX11285,CB4854,11,0.209766045,0.30891135
ED3005,CB4854,9,0.29023404,0.422764988
ED3012,CB4854,10,0.419707991,0.485316157
ED3017,CB4854,8,0.353607573,0.433814166
ED3048,CB4854,11,0.560623936,0.63928265
ED3052,CB4854,10,0.394349127,0.488471771
ED3073,CB4854,11,0.388198893,0.484526632
EG4347,CB4854,9,0.417134456,0.49628258
EG4349,CB4854,10,0.242437533,0.306344439
EG4946,CB4854,13,0.452362712,0.534340085
JT11398,CB4854,7,0.331283458,0.46162505
JU310,CB4854,11,0.333437351,0.41998674
MY23,CB4854,2,0.046414748,0.078155261
JU1212,CB4854,4,0.119368278,0.152061595
JU1213,CB4854,5,0.192585958,0.224273488
JU1242,CB4854,7,0.248152783,0.30622153
JU1409,CB4854,10,0.355674739,0.446545551
JU1491,CB4854,5,0.265323922,0.331385145
JU1581,CB4854,5,0.15495919,0.195929592
JU1568,CB4854,7,0.318885329,0.410127912
JU311,CB4854,5,0.245101678,0.314712545
JU323,CB4854,12,0.372654644,0.476853632
JU346,CB4854,7,0.21303383,0.229521091
JU360,CB4854,9,0.251643073,0.354719587
JU367,CB4854,9,0.386355469,0.471413786
JU363,CB4854,9,0.226225527,0.348031172
JU394,CB4854,5,0.257252995,0.303699087
JU792,CB4854,3,0.191007998,0.243352271
JU397,CB4854,3,0.191007998,0.243352271
JU561,CB4854,8,0.44941028,0.461591916
JU775,CB4854,5,0.08561822,0.123517008
JU830,CB4854,10,0.253993428,0.366555873
JU847,CB4854,7,0.291073657,0.300217775
LSJ1,CB4854,9,0.434834299,0.483989976
MY10,CB4854,5,0.230749782,0.31286994
MY18,CB4854,7,0.259182585,0.3192884
PX174,CB4854,9,0.390174635,0.444532303
PX179,CB4854,6,0.368706865,0.492741001
QX1211,CB4854,0,0,0
QX1233,CB4854,9,0.320737018,0.425999332
JU258,CB4854,6,0.093816342,0.114432196
